Row	Meal	Name	Pos
685	P	Spekjes Gerookt (De Vegetarische Slager)	110738
686	P	Mosterdsoep met Spekjes (AH)	110803
687	P	Zomer Zuurkoolstamppot met Spekjes (Coquette)	110864
688	P	Aardappelblokjes met Kruidenolie en Spekjes (Peka)	110929
689	P	Vakantievla Spekjessmaak (Campina)	110992
690	P	Melk (Vetarm met Toegevoegde Vitamine A)	111059
691	P	Melk (Mager, Calcium Verrijkt)	111281
692	P	Melk (Vetvrij)	111434
693	P	Chocolade Gebak (zonder Chocolade Glazuur)	111610
694	P	Mueslirepen met Chocolade Chip en Chocolade Topping	111840
695	P	Melk (Halfvol met Toegevoegde Vitamine A)	111975
696	P	Melk (Mager met Toegevoegde Vitamine A)	112186
697	P	Chocolade Milkshake (Dikke)	112405
698	P	Bruine Boterham	112572
699	P	Boterham met Kaas	112807
700	P	Boterham met Pindakaas	112997
701	P	Witte Boterham	113181
702	P	Boterham met Kipfilet en Boter	113409
703	P	Boterham met Ham en Boter	113573
704	P	Parijzer Boterhamworst (Aldi)	113759
705	P	Boterhamkorrels Licht (Quino)	113861
706	P	Boterham met Rosbief	113926
707	P	Boterham met Tonijnsalade	114114
708	P	Wit Kalkoenvlees (Gegrild, in Plakjes)	114301
709	P	Wit Grapefruitsap	114399
710	P	Wit Pitabrood	114639
711	P	Fries Roggebrood	114777
712	P	Framboos Drink (Optimel)	115005
713	P	Magere Kwark Aardbei (Optimel)	115060
714	P	Limoen Drink (Optimel)	115122
715	P	Vanille Yoghurt 0% Vet (Optimel)	115182
716	P	Aardbei-Kers Drink (Optimel)	115245
717	P	Drink Mango Passievrucht (Optimel)	115295
718	P	Aardbei Yoghurt (Optimel)	115335
719	P	Yoghurt Bosvruchten (Optimel)	115388
720	P	Yoghurt Griekse Stijl Framboos (Optimel)	115459
721	P	Magere Kwark (Appel/Kaneel) (Optimel)	115516
722	P	Volkoren Spaghetti (Honig)	115555
723	P	Biologische Volkoren Spaghetti (AH)	115613
724	P	Volkoren Spaghetti	115671
725	P	Volkoren Spaghetti met Vleessaus	115845
726	P	Droge Volkoren Pasta	116024
727	P	Volkoren Spaghetti (Jumbo)	116135
728	P	Zachte Volkoren Broodjes	116202
729	P	Pistolet	116525
730	P	Pistolet Bruin (AH)	116695
731	P	Witte Pistolets (AH)	116738
732	P	Pistolets Meergranen (Plus)	116799
733	P	Bruine Pistolet (Hema)	116898
734	P	Pistolets Wit (Plus)	116963
735	P	Voorgebakken Pistolets (Euro Shopper)	117075
736	P	Pistolet Meergranen (Jumbo)	117126
737	P	Bruine Pistolets (AH)	117220
738	P	Koffie	117281
739	P	Koffie met Melk	117529
740	P	Koffie met Melk en Suiker	117742
741	P	Cappuccino	117953
742	P	Koffie (Gezoet)	118260
743	P	Espresso	118513
744	P	Dark Roast (Senseo)	118718
745	P	Koffie Latte	118768
746	P	Oploskoffie (Poeder)	119037
747	P	Muffin (Neutraal)	119237
748	P	Muffin met Chocolate Chip	119476
749	P	Bosbes Muffins	119715
750	P	Muffin met Fruit en/of Noten	119963
751	P	Mini Muffins (Trader Joe's )	120215
752	P	Verwen Muffins Chocolade (Dr. Oetker)	120302
753	P	Double Chocolate Muffin (McDonald's)	120389
754	P	Engelse Muffin	120449
755	P	Volkoren Muffins	120667
756	P	Ambachtelijke Yoghurt Bosbessen Muffin (AH)	120833
757	P	Groene Erwten	120891
758	P	Groene Erwten (Uitgelekt, uit Blik)	121076
759	P	Peultjes of Sugar Snaps	121291
760	P	Groene Erwten (Ingevroren)	121477
761	P	Erwtjes en Worteltjes (Ingevroren)	121688
762	P	Gemengde Groenten (Mais, Lima Bonen, Erwten, Groene Bonen, Wortelen) (zonder Zout, uit Blik)	121846
763	P	Koekjes met Chocolate Chip Topping (Vetarm)	122032
764	P	Koekjes met Chocolate Chip Topping (Zacht)	122176
765	P	Deeg Voor Koekjes met Chocolate Chip Topping	122327
766	P	Maïs Chips Naturel	122486
767	P	Chips met Barbecue Smaak	122608
768	P	Chips met Zure Room en Ui Smaak	122719
769	P	Original (Pringles)	122830
770	P	Paprika (Pringles)	122932
771	P	Sour Cream & Onion (Pringles)	123035
772	P	Hot & Spicy (Pringles)	123096
773	P	Geroosterde Amandelen (Gezouten)	123156
774	P	Amandelschaafsel (AH)	123318
775	P	Dry Roasted Amandelen (Duyvis)	123376
776	P	Amandelen (Neal's Yard Wholefoods)	123436
777	P	in Honing Geroosterde Amandelen	123498
778	P	Oven Roasted Amandelen (Duyvis)	123664
779	P	Amandel (Mars)	123725
780	P	Bloemkool	123787
781	P	Gekookte Bloemkool (Vers, zonder Olie Bereid)	124056
782	P	Gekookte Bloemkool (Vers)	124402
783	P	Gekookte Bloemkool (zonder Olie Bereid)	124786
784	P	Gehakt met Bloemkool en Roomsaus (Maggi)	124962
785	P	Bloemkool Broccoli Roosjes (AH)	125045
786	P	4-Kazen Saus (Maggi)	125099
787	P	Bloemkoolroosjes (AH)	125175
788	P	Gekookte Bloemkool (uit de Diepvries, zonder Olie Bereid)	125230
789	P	Bloemkool (Ingevroren)	125462
790	P	Tortilla Chips (Naturel)	125636
791	P	Salt & Vinegar (Pringles)	125754
792	P	Xtra Cheesy Nacho Cheese (Pringles)	125856
793	P	Frieten	125922
794	P	Frieten (Gefrituurd, uit de Diepvries)	126312
795	P	Zelfgemaakte Frieten	126506
796	P	Patat (Golden)	126895
797	P	Ras Patat (Aviko)	126944
798	P	Patat Frites (Jumbo)	127012
799	P	Patat Frites (Aldi)	127077
800	P	Patat Frites (Plus)	127142
801	P	Patatje Joppie (Lay's)	127209
802	P	Patat Frites (C1000 Basis)	127259
803	P	Snickers (Snickers)	127302
804	P	Mini (Snickers)	127373
